#yyyymm,locid,faacarrier,nominal_taxi_out,nominal_taxi_in
201210,07FA,ALL_FLTS,11.3,5.2
201210,07FA,BJS,11.3,5.2
201210,07FA,EJA,11.3,5.2
201210,07FA,FIV,11.3,5.2
201210,07FA,VNR,11.3,5.2
201210,0B1,ALL_FLTS,11.3,5.2
201210,0B1,CNS,11.3,5.2
201210,0XA5,ALL_FLTS,11.3,5.2
201210,0XA5,GCT,11.3,5.2
201210,11R,ALL_FLTS,11.3,5.2
201210,11R,EJA,11.3,5.2
201210,19N,ALL_FLTS,11.3,5.2
201210,19N,CNS,11.3,5.2
201210,1A5,ALL_FLTS,11.3,5.2
201210,1A5,CNS,11.3,5.2
201210,1B1,ALL_FLTS,11.3,5.2
201210,1B1,LXJ,11.3,5.2
201210,1B1,OPT,11.3,5.2
201210,1B1,RJC,11.3,5.2
201210,1V6,ALL_FLTS,11.3,5.2
201210,1XA2,ALL_FLTS,11.3,5.2
201210,1XA2,EJA,11.3,5.2
201210,20V,ALL_FLTS,11.3,5.2
201210,20V,DCM,11.3,5.2
201210,27K,ALL_FLTS,11.3,5.2
201210,27K,GAJ,11.3,5.2
201210,2R9,ALL_FLTS,11.3,5.2
201210,2R9,GCT,11.3,5.2
201210,36U,ALL_FLTS,11.3,5.2
201210,36U,EJA,11.3,5.2
201210,36U,FIV,11.3,5.2
201210,36U,LXJ,11.3,5.2
201210,36U,TWY,11.3,5.2
201210,38XS,ALL_FLTS,11.3,5.2
201210,38XS,EJA,11.3,5.2
201210,39N,ALL_FLTS,11.3,5.2
201210,39N,CNS,11.3,5.2
201210,3AK5,ALL_FLTS,11.3,5.2
201210,3AK5,VTS,11.3,5.2
201210,3J7,ALL_FLTS,11.3,5.2
201210,3J7,EJA,11.3,5.2
201210,3J7,EJM,11.3,5.2
201210,3J7,ELJ,11.3,5.2
201210,3J7,FIV,11.3,5.2
201210,3J7,LXJ,11.3,5.2
201210,3J7,RVC,11.3,5.2
201210,3T5,ALL_FLTS,11.3,5.2
201210,3T5,DCM,11.3,5.2
201210,3T5,EJA,11.3,5.2
201210,3U3,ALL_FLTS,11.3,5.2
201210,3U3,FIV,11.3,5.2
201210,46U,ALL_FLTS,11.3,5.2
201210,46U,TWY,11.3,5.2
201210,49R,ALL_FLTS,11.3,5.2
201210,49R,GCT,11.3,5.2
201210,4A6,ALL_FLTS,11.3,5.2
201210,4A6,EJM,11.3,5.2
201210,4I3,ALL_FLTS,11.3,5.2
201210,4I3,EJM,11.3,5.2
201210,4I3,LXJ,11.3,5.2
201210,4I7,ALL_FLTS,11.3,5.2
201210,4I7,EJA,11.3,5.2
201210,4I7,SJJ,11.3,5.2
201210,4O4,ALL_FLTS,11.3,5.2
201210,4O4,EJA,11.3,5.2
201210,4O4,RVC,11.3,5.2
201210,4R3,ALL_FLTS,11.3,5.2
201210,4R3,NGF,11.3,5.2
201210,5A9,ALL_FLTS,11.3,5.2
201210,5A9,CNS,11.3,5.2
201210,5B2,ALL_FLTS,11.3,5.2
201210,5B2,EJA,11.3,5.2
201210,5B2,EJM,11.3,5.2
201210,5B2,OPT,11.3,5.2
201210,5T9,ALL_FLTS,11.3,5.2
201210,5T9,EJA,11.3,5.2
201210,5T9,MRA,11.3,5.2
201210,5Y1,ALL_FLTS,11.3,5.2
201210,5Y1,NKT,11.3,5.2
201210,6B0,ALL_FLTS,11.3,5.2
201210,6B0,HPK,11.3,5.2
201210,6S0,ALL_FLTS,11.3,5.2
201210,6S0,EJA,11.3,5.2
201210,6S8,ALL_FLTS,11.3,5.2
201210,6S8,NSI,11.3,5.2
201210,6TE6,ALL_FLTS,11.3,5.2
201210,6TE6,FIV,11.3,5.2
201210,7B2,ALL_FLTS,11.3,5.2
201210,7B2,HPK,11.3,5.2
201210,7LS3,ALL_FLTS,11.3,5.2
201210,7LS3,PHM,11.3,5.2
201210,89TE,ALL_FLTS,11.3,5.2
201210,89TE,JTL,11.3,5.2
201210,8A0,ALL_FLTS,11.3,5.2
201210,8A0,GTH,11.3,5.2
201210,9A1,ALL_FLTS,11.3,5.2
201210,9A1,DCM,11.3,5.2
201210,9D1,ALL_FLTS,11.3,5.2
201210,9D1,SLH,11.3,5.2
201210,9V9,ALL_FLTS,11.3,5.2
201210,9V9,DOW,11.3,5.2
201210,A08,ALL_FLTS,11.3,5.2
201210,A08,RVC,11.3,5.2
201210,AAO,ALL_FLTS,11.3,5.2
201210,AAO,EJA,11.3,5.2
201210,AAO,FIV,11.3,5.2
201210,AAO,JTL,11.3,5.2
201210,AAO,OPT,11.3,5.2
201210,AAO,XSR,11.3,5.2
201210,ABE,ALL_FLTS,10.479402985074627,3.4
201210,ABE,ASH,10.2,3.4
201210,ABE,ASQ,10.2,3.4
201210,ABE,BJS,10.2,3.4
201210,ABE,CHQ,10.2,3.4
201210,ABE,DCM,10.2,3.4
201210,ABE,ECJ,10.2,3.4
201210,ABE,EJA,10.2,3.4
201210,ABE,EJM,10.2,3.4
201210,ABE,FDX,10.2,3.4
201210,ABE,FFT,10.2,3.4
201210,ABE,FLG,11.8,3.4
201210,ABE,FSR,10.2,3.4
201210,ABE,GJE,10.2,3.4
201210,ABE,JIA,10.2,3.4
201210,ABE,LXJ,10.2,3.4
201210,ABE,NGF,10.2,3.4
201210,ABE,PDT,10.2,3.4
201210,ABE,TRS,10.2,3.4
201210,ABE,UCA,10.2,3.4
201210,ABE,VNR,10.2,3.4
201210,ABI,ALL_FLTS,6.833201581027668,3.1728682170542637
201210,ABI,EGF,6.8,3.1
201210,ABI,JTL,7.0,3.5
201210,ABI,MRA,7.0,3.5
201210,ABI,OPT,7.0,3.5
201210,ABI,SCX,7.0,3.5
201210,ABQ,AAL,9.0,4.5
201210,ABQ,AAY,8.4,4.6
201210,ABQ,AJI,8.4,4.6
201210,ABQ,ALL_FLTS,8.219553072625699,4.60230457801308
201210,ABQ,AMF,8.4,4.6
201210,ABQ,ASH,11.1,6.1
201210,ABQ,ASQ,8.4,4.6
201210,ABQ,BSK,8.4,4.6
201210,ABQ,CFS,8.4,4.6
201210,ABQ,CTA,8.4,4.6
201210,ABQ,CYO,8.4,4.6
201210,ABQ,DAL,11.3,6.3
201210,ABQ,DCM,8.4,4.6
201210,ABQ,DOJ,8.4,4.6
201210,ABQ,EGF,8.4,4.6
201210,ABQ,EJA,8.4,4.6
201210,ABQ,EJM,8.4,4.6
201210,ABQ,EJT,8.4,4.6
201210,ABQ,EMD,8.4,4.6
201210,ABQ,FDX,8.4,4.6
201210,ABQ,FFT,8.4,4.6
201210,ABQ,FIN,8.4,4.6
201210,ABQ,GLA,8.4,4.6
201210,ABQ,HON,8.4,4.6
201210,ABQ,IFL,8.4,4.6
201210,ABQ,JBU,8.4,4.6
201210,ABQ,JTL,8.4,4.6
201210,ABQ,LAK,8.4,4.6
201210,ABQ,LJY,8.4,4.6
201210,ABQ,NMI,8.4,4.6
201210,ABQ,NVT,8.4,4.6
201210,ABQ,OAT,8.4,4.6
201210,ABQ,OPT,8.4,4.6
201210,ABQ,PAT,8.4,4.6
201210,ABQ,PKW,8.4,4.6
201210,ABQ,RAX,8.4,4.6
201210,ABQ,RCH,8.4,4.6
201210,ABQ,RPA,8.4,4.6
201210,ABQ,RSP,8.4,4.6
201210,ABQ,SCX,8.4,4.6
201210,ABQ,SFH,8.4,4.6
201210,ABQ,SKW,9.1,5.6
201210,ABQ,SWA,7.1,4.0
201210,ABQ,TCF,8.4,4.6
201210,ABQ,TWY,8.4,4.6
201210,ABQ,UAL,9.3,5.6
201210,ABQ,UPS,8.4,4.6
201210,ABQ,USA,10.8,5.6
201210,ABQ,USC,8.4,4.6
201210,ABQ,VNR,8.4,4.6
201210,ABQ,XSR,8.4,4.6
201210,ABR,ALL_FLTS,11.3,5.2
201210,ABR,CSK,11.3,5.2
201210,ABR,DCM,11.3,5.2
201210,ABR,SKW,11.3,5.2
201210,ABY,ALL_FLTS,8.1,3.2
201210,ABY,ASQ,8.1,3.2
201210,ABY,DCM,8.1,3.2
201210,ABY,UPS,8.1,3.2
201210,ACK,ALL_FLTS,13.3,4.4
201210,ACK,CNS,13.3,4.4
201210,ACK,DCM,13.3,4.4
201210,ACK,EJA,13.3,4.4
201210,ACK,EJM,13.3,4.4
201210,ACK,ELJ,13.3,4.4
201210,ACK,FIV,13.3,4.4
201210,ACK,GPD,13.3,4.4
201210,ACK,GTH,13.3,4.4
201210,ACK,ISA,13.3,4.4
201210,ACK,JBU,13.3,4.4
201210,ACK,KAP,13.3,4.4
201210,ACK,LXJ,13.3,4.4
201210,ACK,MMN,13.3,4.4
