#cntry_code;country;region
43;CUBA;LATIN_AMERICA
44;CYPRUS;ATLANTIC
45;CZECH REPUBLIC;ATLANTIC
46;CONGO,DEM REP OF THE;ATLANTIC
47;BELARUS;ATLANTIC
48;DJIBOUTI;ATLANTIC
49;DOMINICA;LATIN_AMERICA
50;DOMINICAN REPUBLIC;LATIN_AMERICA
51;EAST TIMOR;PACIFIC
52;ECUADOR;LATIN_AMERICA
53;EQUATORIAL GUINEA;ATLANTIC
54;EGYPT;ATLANTIC
55;EL SALVADOR;LATIN_AMERICA
56;ERITREA;ATLANTIC
57;ESTONIA;ATLANTIC
58;ETHIOPIA;ATLANTIC
59;FIJI;PACIFIC
60;FINLAND;ATLANTIC
61;MACEDONIA, F YUG REP;ATLANTIC
62;GABON;ATLANTIC
63;THE GAMBIA;ATLANTIC
64;GERMANY;ATLANTIC
65;GHANA;ATLANTIC
66;GREECE;ATLANTIC
67;GRENADA;LATIN_AMERICA
68;GUATEMALA;LATIN_AMERICA
69;GUINEA;ATLANTIC
70;GERMANY;ATLANTIC
70;GUINEA-BISSAU;ATLANTIC
71;GUYANA;LATIN_AMERICA
72;HAITI;LATIN_AMERICA
73;HONDURAS;LATIN_AMERICA
74;HUNGARY;ATLANTIC
75;ICELAND;ATLANTIC
76;INDIA;PACIFIC
77;INDONESIA;PACIFIC
78;IRAQ;ATLANTIC
79;IRAN;ATLANTIC
80;IRELAND;ATLANTIC
81;ISRAEL;ATLANTIC
82;ITALY;ATLANTIC
83;JAMAICA;LATIN_AMERICA
84;JAPAN;PACIFIC
85;JORDAN;ATLANTIC
86;KAZAKHSTAN;ATLANTIC
86;KYRGYZSTAN;ATLANTIC
87;KENYA;ATLANTIC
88;KUWAIT;ATLANTIC
89;LAOS;PACIFIC
90;LATVIA;ATLANTIC
91;LEBANON;ATLANTIC
92;LESOTHO;ATLANTIC
93;LIBERIA;ATLANTIC
94;LIBYA;ATLANTIC
95;LITHUANIA;ATLANTIC
96;LUXEMBOURG;ATLANTIC
97;MALAWI;ATLANTIC
98;MALAYSIA(PENINSULAR);PACIFIC
99;MALAYSIA;PACIFIC
100;MALDIVES;PACIFIC
101;MALI;ATLANTIC
102;MALTA;ATLANTIC
103;MARSHALL ISLANDS;PACIFIC
104;MAURITANIA;ATLANTIC
105;MAURITIUS;ATLANTIC
106;MEXICO;LATIN_AMERICA
107;GEORGIA;ATLANTIC
108;TONGA;PACIFIC
109;MOROCCO;ATLANTIC
110;MOZAMBIQUE;ATLANTIC
111;MYANMAR;ATLANTIC
112;NAMIBIA;ATLANTIC
113;NAURU;PACIFIC
114;NEPAL;PACIFIC
115;NEW ZEALAND;PACIFIC
116;NICARAGUA;LATIN_AMERICA
117;NIGER;ATLANTIC
118;NIGERIA;ATLANTIC
119;NORWAY;ATLANTIC
120;OMAN;ATLANTIC
121;PAKISTAN;ATLANTIC
122;PANAMA;LATIN_AMERICA
123;PAPUA NEW GUINEA;PACIFIC
124;PARAGUAY;LATIN_AMERICA
125;PERU;LATIN_AMERICA
126;PHILIPPINES;PACIFIC
127;POLAND;ATLANTIC
128;PORTUGAL;ATLANTIC
129;QATAR;ATLANTIC
130;TAIWAN;PACIFIC
131;KOREA, REPUBLIC OF (SOUTH);PACIFIC
132;MOLDOVA;ATLANTIC
133;ROMANIA;ATLANTIC
134;RWANDA;ATLANTIC
135;SAO TOME N PRINCIPE;ATLANTIC
136;SAUDI ARABIA;ATLANTIC
137;SENEGAL;ATLANTIC
138;SEYCHELLES;ATLANTIC
140;SINGAPORE;PACIFIC
141;SLOVAKIA;ATLANTIC
142;SLOVENIA;ATLANTIC
143;SOLOMON ISLANDS;PACIFIC
144;SOMALIA;ATLANTIC
145;SOUTH AFRICA;ATLANTIC
146;SPAIN;ATLANTIC
147;SRI LANKA;PACIFIC
148;ST.VINCENT GRENADINE;LATIN_AMERICA
149;ST. KITTS AND NEVIS;LATIN_AMERICA
150;ST. LUCIA;LATIN_AMERICA
151;SUDAN;ATLANTIC
152;SURINAME;LATIN_AMERICA
153;SWAZILAND;ATLANTIC
154;SWEDEN;ATLANTIC
155;SWITZERLAND;ATLANTIC
156;SYRIA;ATLANTIC
157;THAILAND;PACIFIC
158;TOGO;ATLANTIC
159;TRINIDAD AND TOBAGO;LATIN_AMERICA
160;TUNISIA;ATLANTIC
161;TURKEY;ATLANTIC
162;TAJIKISTAN;ATLANTIC
163;UGANDA;ATLANTIC
164;UKRAINE;ATLANTIC
165;UNITED ARAB EMIRATES;ATLANTIC
166;TANZANIA, UNITED REP;ATLANTIC
167;URUGUAY;LATIN_AMERICA
168;VANUATU;PACIFIC
169;VENEZUELA;LATIN_AMERICA
170;VIETNAM;PACIFIC
171;BRUNEI DARUSSALAM;PACIFIC
172;YEMEN;ATLANTIC
173;SERBIA & MONTENEGRO;ATLANTIC
174;ZAMBIA;ATLANTIC
175;ZIMBABWE;ATLANTIC
176;ANGUILLA (UK);LATIN_AMERICA
176;BERMUDA;ATLANTIC
176;BRITISH INDIAN OCEAN;PACIFIC
176;CAYMAN ISLANDS;LATIN_AMERICA
176;FALKLAND ISLAND (UK);LATIN_AMERICA
176;GIBRALTAR;ATLANTIC
176;MONTSERRAT;LATIN_AMERICA
176;ST. HELENA (UK);ATLANTIC
176;TURKS N CAICOS ISLES;LATIN_AMERICA
176;UNITED KINGDOM;ATLANTIC
176;VIRGIN ISL (UK);LATIN_AMERICA
177;FRANCE;ATLANTIC
177;FRENCH ANTILLES;LATIN_AMERICA
177;FRENCH GUIANA;LATIN_AMERICA
177;FRENCH POLYNESIA;PACIFIC
177;GUADELOUPE;LATIN_AMERICA
177;MADAGASCAR;ATLANTIC
177;NEW CALEDONIA;PACIFIC
177;REUNION;ATLANTIC
177;WALLIS AND FUTUNA;PACIFIC
178;ARUBA;LATIN_AMERICA
178;NETHERLANDS;ATLANTIC
178;NETHERLANDS ANTILLES;LATIN_AMERICA
179;DENMARK;ATLANTIC
179;GREENLAND;ATLANTIC
180;MICRONESIA, FED ST;PACIFIC
180;PALAU;PACIFIC
181;KIRIBATI;PACIFIC
181;TUVALU;PACIFIC
182;SAMOA;PACIFIC
183;SIERRA LEONE;ATLANTIC
184;TURKMENISTAN;ATLANTIC
185;UZBEKISTAN;ATLANTIC
186;COMOROS;ATLANTIC
187;PALESTINIAN CONTROL;ATLANTIC
188;KOSOVO, UN ADMIN;ATLANTIC
189;KOREA, D P R (NORTH);PACIFIC
1;UNITED STATES;US
1;USA;US
2;CANADA;CANADA
3;RUSSIAN FEDERATION;ATLANTIC
4;CHINA;PACIFIC
5;AUSTRALIA;PACIFIC
6;AFGHANISTAN;ATLANTIC
7;ALBANIA;ATLANTIC
8;ALGERIA;ATLANTIC
9;ANGOLA;ATLANTIC
10;ANTIGUA AND BARBUDA;LATIN_AMERICA
12;ARGENTINA;LATIN_AMERICA
13;ARMENIA;ATLANTIC
13;GEORGIA;ATLANTIC
14;AUSTRIA;ATLANTIC
15;AZERBAIJAN;ATLANTIC
16;THE BAHAMAS;LATIN_AMERICA
17;BAHRAIN;ATLANTIC
18;BANGLADESH;PACIFIC
19;BARBADOS;LATIN_AMERICA
20;BELGIUM;ATLANTIC
21;BELIZE;LATIN_AMERICA
22;BENIN;ATLANTIC
23;BHUTAN;PACIFIC
24;BOLIVIA;LATIN_AMERICA
25;BOSNIA - HERZEGOVINA;ATLANTIC
26;BOTSWANA;ATLANTIC
27;BRAZIL;LATIN_AMERICA
28;BULGARIA;ATLANTIC
29;BURKINA FASO;ATLANTIC
30;BURUNDI;ATLANTIC
31;CAMBODIA;PACIFIC
32;CAMEROON;ATLANTIC
33;CAPE VERDE;ATLANTIC
34;CENTRAL AFRICA;ATLANTIC
35;CHAD;ATLANTIC
36;CHILE;LATIN_AMERICA
37;COLOMBIA;LATIN_AMERICA
38;CONGO,REP OF THE;ATLANTIC
39;COOK ISLANDS;PACIFIC
40;COSTA RICA;LATIN_AMERICA
41;IVORY COAST;ATLANTIC
42;CROATIA;ATLANTIC
194;BAHAMAS, THE;LATIN_AMERICA
197;BURMA;PACIFIC
198;CHRISTMAS ISLAND;PACIFIC
200;COCOS (KEELING) ISLANDS;PACIFIC
203;FAROE ISLANDS;ATLANTIC
204;GAMBIA, THE;ATLANTIC
208;HONG KONG;PACIFIC
221;MARTINIQUE;LATIN_AMERICA
