#year,locid,itn_ga,itn_mil,itn_ac,itn_at
2013,00F,500,0,0,100
2013,00M,3650,0,0,0
2013,00R,2605,0,0,0
2013,01G,3000,500,0,0
2013,01J,1880,0,0,0
2013,01M,7400,200,0,0
2013,02A,22700,0,0,0
2013,02C,5000,150,0,0
2013,02G,4620,26,0,110
2013,03D,600,0,0,0
2013,04M,420,0,0,0
2013,04Y,4000,0,0,0
2013,05C,13345,0,0,337
2013,05U,1400,0,0,0
2013,06A,12950,0,0,0
2013,06C,19000,0,0,360
2013,06D,1000,0,0,410
2013,06M,1000,0,0,0
2013,06N,5500,0,0,0
2013,06U,5200,0,0,0
2013,07A,5750,0,0,0
2013,07F,7140,0,0,100
2013,07K,1890,120,0,0
2013,08A,32500,0,0,0
2013,08D,2000,100,0,600
2013,08K,300,100,0,0
2013,08M,1800,0,0,0
2013,09A,1560,0,0,0
2013,09J,2800,0,0,0
2013,09K,1600,0,0,0
2013,09M,900,0,0,0
2013,0A3,1500,200,0,0
2013,0A8,2750,0,0,0
2013,0A9,4000,0,0,0
2013,0AK,200,0,0,500
2013,0B1,2000,20,0,0
2013,0B4,950,0,0,250
2013,0B5,5000,0,0,100
2013,0B7,1100,0,0,0
2013,0B8,500,25,0,1100
2013,0C0,10000,0,0,0
2013,0C4,1200,0,0,0
2013,0D8,700,0,0,0
2013,0E0,2000,0,0,200
2013,0E8,200,0,0,300
2013,0F2,2200,50,0,30
2013,0F4,250,0,0,0
2013,0F7,100,0,0,0
2013,0F9,96,0,0,0
2013,0G0,0,0,0,0
2013,0G3,1500,150,0,0
2013,0G6,2000,10,0,0
2013,0G7,2900,65,0,0
2013,0H1,900,0,0,100
2013,0I8,5695,190,0,368
2013,0J0,400,1200,0,0
2013,0J4,1220,20000,0,0
2013,0J6,31667,4000,0,0
2013,0K7,2272,0,0,0
2013,0L7,15000,0,0,0
2013,0M0,3000,50,0,0
2013,0M4,2500,40,0,0
2013,0M5,600,40,0,40
2013,0M8,2000,0,0,0
2013,0O4,3050,0,0,50
2013,0Q5,15102,200,0,0
2013,0R0,12240,0,0,0
2013,0R1,3000,0,0,0
2013,0R4,3000,0,0,0
2013,0R5,2500,0,0,0
2013,0R7,1000,0,0,0
2013,0S7,15000,500,0,0
2013,0S9,35910,0,0,1522
2013,0V3,2300,0,0,0
2013,0V4,500,50,0,20
2013,0V7,1500,0,0,500
2013,0VG,2622,0,0,0
2013,10C,27000,0,0,0
2013,10D,3570,0,0,0
2013,10G,5068,1000,0,500
2013,10U,50,0,0,0
2013,11A,1240,0,0,0
2013,11R,5000,50,0,0
2013,12D,2000,0,0,0
2013,12J,7000,150000,0,1500
2013,12K,700,0,0,0
2013,12Y,5857,60,0,0
2013,13C,5000,200,0,0
2013,13K,1000,0,0,0
2013,14J,3380,250,0,0
2013,14M,2900,0,0,0
2013,14Y,1520,10,0,0
2013,15F,800,0,0,0
2013,15J,5100,0,0,0
2013,15M,3900,300,0,0
2013,15Z,400,0,0,500
2013,16A,0,0,0,0
2013,16G,14000,165,0,5000
2013,16J,3400,0,0,0
2013,16S,1880,0,0,0
2013,17G,6180,99,0,1030
2013,17J,3000,0,0,0
2013,17K,1000,0,0,0
2013,17M,4410,320,0,0
2013,18A,3000,0,0,0
2013,18I,200,50,0,50
2013,19A,3500,50,0,0
2013,19M,975,0,0,0
2013,19P,30,0,0,300
2013,1A3,2200,0,0,0
2013,1A5,4500,250,0,0
2013,1A6,7200,200,0,1650
2013,1A7,130,157,0,0
2013,1A9,5840,250,0,0
2013,1B0,620,0,0,0
2013,1B1,8000,200,0,4000
2013,1B9,15000,750,0,1200
2013,1C5,22000,0,0,2000
2013,1D1,400,0,0,0
2013,1D2,15462,0,0,0
2013,1D3,240,0,0,0
2013,1D6,1000,0,0,0
2013,1D7,36,0,0,0
2013,1D8,650,0,0,0
2013,1F0,5500,0,0,0
2013,1F1,100,0,0,0
2013,1F4,1500,0,0,0
2013,1G0,7000,130,0,275
2013,1G3,11100,200,0,1800
2013,1G4,300,0,0,130000
2013,1G5,23320,55,0,1210
2013,1H0,9200,50,0,390
2013,1H2,12000,100,0,4900
2013,1H3,700,50,0,0
2013,1H8,2750,50,0,200
2013,1I5,220,0,0,0
2013,1I9,1858,0,0,0
2013,1J0,7072,20000,0,104
2013,1K2,216,0,0,0
2013,1K4,5000,0,0,0
2013,1K5,1500,0,0,0
2013,1K8,6500,0,0,0
2013,1K9,500,0,0,0
2013,1L0,4000,300,0,0
2013,1L1,800,0,0,0
2013,1L7,775,0,0,30
2013,1L8,6832,0,0,10
2013,1L9,2770,0,0,30
2013,1M2,1000,0,0,0
2013,1M4,8460,0,0,0
2013,1M5,5740,400,0,100
2013,1M7,3900,75,0,97
2013,1M9,5000,7200,0,275
2013,1MO,2800,50,0,75
2013,1N2,100,0,0,0
2013,1O1,1000,0,0,0
2013,1O2,37000,2500,0,0
2013,1O4,4000,0,0,0
2013,1O6,1700,0,0,0
2013,1P1,1000,30,0,0
2013,1R1,5000,0,0,0
2013,1R7,6000,0,0,0
2013,1R8,38544,26280,0,8760
2013,1S3,2995,25,0,325
2013,1S5,18000,0,0,0
2013,1S6,6470,0,0,0
2013,1U7,2083,0,0,0
2013,1V0,200,0,0,0
2013,1V2,125,0,0,0
2013,1V6,7200,1578,0,800
2013,1W1,2500,0,0,0
2013,20A,1480,0,0,0
2013,20M,3900,0,0,0
2013,20N,1000,0,0,0
2013,20U,300,10,0,60
2013,20V,2611,0,0,153
2013,21D,10448,100,0,0
2013,21F,200,0,0,0
2013,22I,2200,275,0,0
2013,22M,3826,1238,0,0
2013,22N,2539,300,0,202
2013,23M,4000,1000,0,0
2013,23N,250,0,0,0
2013,23R,1800,0,0,0
2013,24A,2500,200,0,150
2013,24J,6700,0,0,0
2013,24N,700,0,0,0
2013,25J,1000,0,0,0
2013,25M,6600,0,0,0
2013,26A,2500,75,0,0
2013,26N,12098,0,0,0
2013,26R,2500,120,0,0
2013,26U,1931,0,0,200
2013,27A,1500,0,0,0
2013,27K,7125,500,0,1000
2013,28J,30000,110,0,300
2013,29D,1005,25,0,50
2013,29S,4000,0,0,600
2013,2A0,3500,100,0,50
2013,2A1,250,12,0,0
2013,2A3,280,0,0,1950
2013,2A9,0,0,0,0
2013,2AK,0,0,0,440
2013,2B3,1600,0,0,50
2013,2B7,5000,0,0,100
2013,2B9,1400,0,0,10
2013,2C7,0,0,0,0
2013,2C8,800,250,0,200
2013,2D1,400,0,0,0
2013,2D5,1500,50,0,300
2013,2F5,2800,0,0,0
2013,2F6,500,0,0,0
2013,2F7,750,0,0,0
2013,2G2,11878,58,0,525
2013,2G4,6500,300,0,300
2013,2G9,2291,2500,0,453
2013,2H0,5800,200,0,300
2013,2H2,2650,50,0,120
2013,2I0,10440,500,0,3500
2013,2I3,6800,600,0,200
2013,2IS,4599,28,0,0
2013,2J3,2000,0,0,0
2013,2J5,1000,0,0,0
2013,2J9,2184,0,0,0
2013,2K0,0,0,0,0
2013,2K4,1500,0,0,0
2013,2K5,0,0,0,0
2013,2M0,4120,100,0,206
2013,2M2,2494,0,0,0
2013,2M4,3560,0,0,0
2013,2M8,1060,50,0,154
2013,2O1,4200,100,0,400
2013,2O6,2000,0,0,0
2013,2O7,2000,0,0,0
2013,2O8,2000,0,0,0
2013,2P2,4000,30,0,0
2013,2R0,1670,260,0,0
2013,2R2,7876,698,0,377
2013,2R4,7737,50,0,0
2013,2R5,12500,0,0,0
2013,2R9,700,0,0,0
2013,2S1,7572,0,0,20
2013,2S6,7781,0,0,108
2013,2S7,2700,0,0,500
2013,2S8,400,0,0,0
2013,2T1,800,0,0,0
2013,2V5,7738,0,0,0
2013,2V6,1300,0,0,0
2013,2W5,1000,1000,0,20
2013,2W6,15090,254,0,25
2013,2Y3,0,0,0,0
2013,2Y4,1705,0,0,0
2013,32A,500,0,0,0
2013,32S,3600,0,0,1400
2013,33J,8200,624,0,0
2013,33M,180,220,0,0
2013,33N,16963,0,0,0
2013,33S,1918,0,0,0
2013,35A,4000,0,0,0
2013,35D,10000,0,0,100
2013,35S,1451,0,0,60
2013,36K,500,0,0,0
2013,36S,2250,0,0,0
2013,36U,11448,0,0,1603
2013,37T,2000,20,0,0
2013,38S,1500,300,0,500
2013,38U,1900,0,0,10
2013,39N,11782,0,0,5000
2013,3A0,2400,0,0,0
2013,3A1,22400,120,0,0
2013,3A2,1040,10,0,0
2013,3AU,15000,0,0,0
2013,3B0,20000,50,0,1100
2013,3B1,2100,0,0,0
2013,3CK,19000,0,0,0
2013,3CM,4503,0,0,0
2013,3CU,3000,10,0,500
2013,3D1,200,0,0,0
2013,3D2,5500,0,0,300
2013,3F3,5000,300,0,0
2013,3F4,2500,0,0,0
2013,3F7,1500,0,0,0
2013,3FU,200,0,0,0
2013,3G3,11676,25,0,508
2013,3G4,4284,510,0,1606
2013,3GM,3000,0,0,0
2013,3H4,8400,20,0,250
2013,3I2,200,10,0,100
2013,3J1,3000,250,0,0
2013,3J7,5100,300,0,0
2013,3JC,14000,0,0,0
2013,3K3,1400,0,0,0
2013,3K6,24300,0,0,1000
2013,3K7,1000,0,0,0
2013,3LF,3900,600,0,600
2013,3M7,5000,2080,0,100
2013,3M8,2556,0,0,0
2013,3M9,1000,300,0,0
2013,3MY,8000,0,0,300
2013,3N8,700,0,0,0
2013,3O1,2000,0,0,0
2013,3O3,1800,0,0,0
2013,3O4,300,0,0,0
2013,3O5,300,0,0,0
2013,3P3,600,40,0,50
2013,3R2,2000,0,0,0
2013,3R4,3000,100,0,0
2013,3R7,16000,2530,0,0
2013,3S4,3289,0,0,0
2013,3S8,15412,100,0,320
2013,3S9,3088,0,0,60
2013,3T3,1500,0,0,50
2013,3T4,0,0,0,0
2013,3T5,3000,0,0,0
2013,3T7,2000,0,0,4000
2013,3TR,1500,0,0,0
2013,3U3,2000,0,0,300
2013,3U8,350,0,0,0
2013,3W2,6300,0,0,7250
2013,3W7,8000,0,0,0
2013,3W8,24,0,0,0
2013,3X5,500,0,0,0
2013,3Y2,765,0,0,0
2013,3Y3,2456,0,0,0
2013,3Z9,150,0,0,100
2013,40J,7000,200,0,200
2013,40U,1286,0,0,20
2013,41F,2100,0,0,0
2013,41U,814,0,0,14
2013,42A,1500,20,0,0
2013,42C,1000,0,0,0
2013,42J,16252,900,0,500
2013,43A,1500,2000,0,0
2013,43D,3000,0,0,0
2013,44B,100,0,0,0
2013,44N,24000,300,0,0
2013,45R,1100,0,0,6
2013,46D,1200,50,0,440
2013,46N,0,10,0,0
2013,47N,7290,0,0,0
2013,47V,580,0,0,0
2013,48A,2100,400,0,0
2013,48D,8400,0,0,0
2013,48I,3500,100,0,0
2013,48K,1000,0,0,0
2013,48S,1750,0,0,0
2013,49A,1000,0,0,0
2013,49B,3800,6,0,60
2013,49T,600,0,0,0
2013,49X,2000,0,0,0
2013,4A2,0,0,0,0
2013,4A4,5000,150,0,0
2013,4A5,500,0,0,0
2013,4A6,6296,0,0,0
2013,4A7,20100,0,0,1800
2013,4A9,9270,0,0,0
2013,4B0,7980,520,0,0
2013,4B1,100,200,0,0
2013,4B6,3000,200,0,0
2013,4B7,200,0,0,0
2013,4B8,10450,55,0,600
2013,4B9,1200,0,0,75
2013,4C8,1136,0,0,0
2013,4D0,5058,2300,0,0
2013,4D9,850,0,0,0
2013,4E7,500,10,0,100
2013,4F2,15500,500,0,0
2013,4F9,800,100,0,200
2013,4G1,3316,0,0,0
2013,4G5,600,624,0,600
2013,4G7,1418,500,0,0
2013,4H1,800,0,0,0
2013,4I3,7000,50,0,500
2013,4I7,7703,0,0,1377
2013,4I9,2300,100,0,208
2013,4J1,500,0,0,0
2013,4J2,1000,0,0,0
2013,4J5,2000,0,0,0
2013,4J6,1985,30,0,0
2013,4K0,550,0,0,500
2013,4K5,0,0,0,0
2013,4K6,1421,0,0,0
2013,4KA,0,0,0,300
2013,4M1,13183,200,0,0
2013,4M3,12000,100,0,0
2013,4M7,5523,3600,0,620
2013,4M8,1000,500,0,0
2013,4M9,1000,200,0,0
2013,4N1,3620,0,0,0
2013,4O4,1100,0,0,0
2013,4O5,1000,0,0,0
2013,4P3,120,0,0,0
2013,4R1,2000,0,0,0
2013,4R3,2200,0,0,0
2013,4R5,6000,0,0,100
2013,4R7,5000,0,0,0
2013,4R9,2190,0,0,0
2013,4S1,3139,150,0,800
2013,4S2,9883,60,0,200
2013,4S9,8486,0,0,0
2013,4U6,1300,0,0,50
2013,4V0,5000,15,0,100
2013,4V1,1000,0,0,0
2013,4V4,5000,60,0,300
2013,4V9,2550,0,0,0
2013,4X4,24,0,0,0
2013,4Z7,5,0,0,100
2013,50I,293,0,0,585
2013,50K,325,24,0,0
2013,50R,5900,0,0,0
2013,51D,500,10,0,50
2013,51M,150,0,0,0
2013,51Z,500,0,0,500
2013,52A,2700,0,0,300
2013,52J,400,0,0,0
2013,53A,1500,0,0,0
2013,53K,500,0,0,0
2013,54J,5000,1000,0,200
2013,55S,7455,300,0,0
2013,55Y,802,0,0,0
2013,56D,1800,10,0,500
2013,56S,1600,400,0,400
2013,57B,1080,0,0,0
2013,57C,22000,200,0,800
2013,59B,1000,0,0,0
